NodeName    	EventType       		TimeStamp      		PacketType  	SeqNo    	Source          	Destination

CLIENT		 S 				15:15:49 		 DATA 		 0 		 CLIENT 		 RELAY1
CLIENT		 S 				15:15:49 		 DATA 		 1 		 CLIENT 		 RELAY2
CLIENT		 S 				15:15:49 		 DATA 		 2 		 CLIENT 		 RELAY1
CLIENT		 S 				15:15:49 		 DATA 		 3 		 CLIENT 		 RELAY2
RELAY1		 R 				15:15:49 		 DATA 		 0 		 SERVER 		 RELAY1
RELAY2		 R 				15:15:49 		 DATA 		 1 		 SERVER 		 RELAY2
RELAY1		 S 				15:15:49 		 DATA 		 0 		 RELAY1 		 SERVER
RELAY2		 S 				15:15:49 		 DATA 		 1 		 RELAY2 		 SERVER
RELAY1		 D 				15:15:49 		 DATA 		 2 		 CLIENT 		 RELAY1 
RELAY2		 R 				15:15:49 		 DATA 		 3 		 SERVER 		 RELAY2
SERVER		 R 				15:15:49 		 DATA 		 0 		 RELAY1 		 SERVER
RELAY2		 S 				15:15:49 		 DATA 		 3 		 RELAY2 		 SERVER
SERVER		 R 				15:15:49 		 DATA 		 1 		 RELAY2 		 SERVER
SERVER		 R 				15:15:49 		 DATA 		 3 		 RELAY2 		 SERVER
CLIENT		 TO 			15:15:51 		 DATA 		 0 		 CLIENT 		 RELAY1
CLIENT		 S 				15:15:51 		 DATA 		 0 		 CLIENT 		 RELAY1
CLIENT		 S 				15:15:51 		 DATA 		 1 		 CLIENT 		 RELAY2
RELAY1		 R 				15:15:51 		 DATA 		 0 		 SERVER 		 RELAY1
CLIENT		 S 				15:15:51 		 DATA 		 2 		 CLIENT 		 RELAY1
RELAY2		 R 				15:15:51 		 DATA 		 1 		 SERVER 		 RELAY2
CLIENT		 S 				15:15:51 		 DATA 		 3 		 CLIENT 		 RELAY2
RELAY1		 S 				15:15:51 		 DATA 		 0 		 RELAY1 		 SERVER
SERVER		 R 				15:15:51 		 DATA 		 0 		 RELAY1 		 SERVER
RELAY1		 D 				15:15:51 		 DATA 		 2 		 CLIENT 		 RELAY1 
RELAY2		 S 				15:15:51 		 DATA 		 1 		 RELAY2 		 SERVER
SERVER		 R 				15:15:51 		 DATA 		 0 		 RELAY1 		 SERVER
RELAY1		 R 				15:15:51 		 DATA 		 0 		 CLIENT 		 RELAY1
RELAY2		 R 				15:15:51 		 DATA 		 3 		 SERVER 		 RELAY2
SERVER		 R 				15:15:51 		 DATA 		 1 		 RELAY1 		 SERVER
RELAY2		 S 				15:15:51 		 DATA 		 3 		 RELAY2 		 SERVER
RELAY1		 S 				15:15:51 		 DATA 		 0 		 RELAY1 		 CLIENT
SERVER		 R 				15:15:51 		 DATA 		 1 		 RELAY2 		 SERVER
RELAY1		 R 				15:15:51 		 DATA 		 1 		 CLIENT 		 RELAY1
SERVER		 R 				15:15:51 		 DATA 		 3 		 RELAY2 		 SERVER
RELAY1		 S 				15:15:51 		 DATA 		 1 		 RELAY1 		 CLIENT
CLIENT		 R 				15:15:51 		 DATA 		 0 		 RELAY1 		 CLIENT
CLIENT		 S 				15:15:51 		 DATA 		 1 		 CLIENT 		 RELAY2
CLIENT		 S 				15:15:51 		 DATA 		 2 		 CLIENT 		 RELAY1
RELAY2		 R 				15:15:51 		 DATA 		 1 		 SERVER 		 RELAY2
CLIENT		 S 				15:15:51 		 DATA 		 3 		 CLIENT 		 RELAY2
RELAY1		 D 				15:15:51 		 DATA 		 2 		 CLIENT 		 RELAY1 
RELAY2		 S 				15:15:51 		 DATA 		 1 		 RELAY2 		 SERVER
CLIENT		 S 				15:15:51 		 DATA 		 4 		 CLIENT 		 RELAY1
RELAY2		 D 				15:15:51 		 DATA 		 3 		 CLIENT 		 RELAY2 
SERVER		 R 				15:15:51 		 DATA 		 1 		 RELAY2 		 SERVER
CLIENT		 R 				15:15:51 		 DATA 		 1 		 RELAY1 		 CLIENT
RELAY1		 R 				15:15:51 		 DATA 		 4 		 SERVER 		 RELAY1
CLIENT		 S 				15:15:51 		 DATA 		 2 		 CLIENT 		 RELAY1
CLIENT		 S 				15:15:51 		 DATA 		 3 		 CLIENT 		 RELAY2
SERVER		 R 				15:15:51 		 DATA 		 4 		 RELAY1 		 SERVER
RELAY1		 S 				15:15:51 		 DATA 		 4 		 RELAY1 		 SERVER
CLIENT		 S 				15:15:51 		 DATA 		 4 		 CLIENT 		 RELAY1
RELAY1		 R 				15:15:51 		 DATA 		 2 		 SERVER 		 RELAY1
RELAY2		 R 				15:15:51 		 DATA 		 3 		 SERVER 		 RELAY2
CLIENT		 S 				15:15:51 		 DATA 		 5 		 CLIENT 		 RELAY2
RELAY1		 S 				15:15:51 		 DATA 		 2 		 RELAY1 		 SERVER
SERVER		 R 				15:15:51 		 DATA 		 2 		 RELAY1 		 SERVER
SERVER		 R 				15:15:51 		 DATA 		 3 		 RELAY2 		 SERVER
RELAY1		 R 				15:15:51 		 DATA 		 4 		 SERVER 		 RELAY1
RELAY2		 S 				15:15:51 		 DATA 		 3 		 RELAY2 		 SERVER
SERVER		 R 				15:15:51 		 DATA 		 4 		 RELAY1 		 SERVER
RELAY1		 S 				15:15:51 		 DATA 		 4 		 RELAY1 		 SERVER
RELAY2		 R 				15:15:51 		 DATA 		 5 		 SERVER 		 RELAY2
RELAY2		 S 				15:15:51 		 DATA 		 5 		 RELAY2 		 SERVER
SERVER		 R 				15:15:51 		 DATA 		 5 		 RELAY2 		 SERVER
SERVER		 R 				15:15:51 		 DATA 		 2 		 RELAY2 		 SERVER
RELAY2		 R 				15:15:51 		 DATA 		 2 		 CLIENT 		 RELAY2
SERVER		 S 				15:15:51 		 DATA 		 3 		 SERVER 		 RELAY2
RELAY2		 S 				15:15:51 		 DATA 		 2 		 RELAY2 		 CLIENT
CLIENT		 R 				15:15:51 		 DATA 		 2 		 RELAY1 		 CLIENT
RELAY2		 R 				15:15:51 		 DATA 		 3 		 CLIENT 		 RELAY2
SERVER		 R 				15:15:51 		 DATA 		 4 		 RELAY2 		 SERVER
CLIENT		 S 				15:15:51 		 DATA 		 3 		 CLIENT 		 RELAY2
SERVER		 R 				15:15:51 		 DATA 		 5 		 RELAY2 		 SERVER
RELAY2		 S 				15:15:51 		 DATA 		 3 		 RELAY2 		 CLIENT
CLIENT		 S 				15:15:51 		 DATA 		 4 		 CLIENT 		 RELAY1
RELAY2		 R 				15:15:51 		 DATA 		 4 		 CLIENT 		 RELAY2
CLIENT		 S 				15:15:51 		 DATA 		 5 		 CLIENT 		 RELAY2
RELAY2		 S 				15:15:51 		 DATA 		 4 		 RELAY2 		 CLIENT
CLIENT		 S 				15:15:51 		 DATA 		 6 		 CLIENT 		 RELAY1
RELAY2		 R 				15:15:51 		 DATA 		 5 		 CLIENT 		 RELAY2
CLIENT		 R 				15:15:51 		 DATA 		 3 		 RELAY1 		 CLIENT
RELAY2		 S 				15:15:51 		 DATA 		 5 		 RELAY2 		 CLIENT
CLIENT		 S 				15:15:51 		 DATA 		 4 		 CLIENT 		 RELAY1
RELAY2		 R 				15:15:51 		 DATA 		 3 		 SERVER 		 RELAY2
CLIENT		 S 				15:15:51 		 DATA 		 5 		 CLIENT 		 RELAY2
SERVER		 R 				15:15:51 		 DATA 		 3 		 RELAY2 		 SERVER
RELAY2		 S 				15:15:51 		 DATA 		 3 		 RELAY2 		 SERVER
CLIENT		 S 				15:15:51 		 DATA 		 6 		 CLIENT 		 RELAY1
RELAY2		 R 				15:15:51 		 DATA 		 5 		 SERVER 		 RELAY2
RELAY2		 S 				15:15:51 		 DATA 		 5 		 RELAY2 		 SERVER
SERVER		 R 				15:15:51 		 DATA 		 5 		 RELAY2 		 SERVER
CLIENT		 S 				15:15:51 		 DATA 		 7 		 CLIENT 		 RELAY2
RELAY2		 R 				15:15:51 		 DATA 		 5 		 SERVER 		 RELAY2
CLIENT		 R 				15:15:51 		 DATA 		 4 		 RELAY1 		 CLIENT
CLIENT		 S 				15:15:51 		 DATA 		 5 		 CLIENT 		 RELAY2
RELAY2		 S 				15:15:51 		 DATA 		 5 		 RELAY2 		 SERVER
SERVER		 R 				15:15:51 		 DATA 		 5 		 RELAY2 		 SERVER
RELAY2		 D 				15:15:51 		 DATA 		 7 		 CLIENT 		 RELAY2 
CLIENT		 S 				15:15:51 		 DATA 		 6 		 CLIENT 		 RELAY1
RELAY2		 D 				15:15:51 		 DATA 		 5 		 CLIENT 		 RELAY2 
CLIENT		 S 				15:15:51 		 DATA 		 7 		 CLIENT 		 RELAY2
RELAY2		 R 				15:15:51 		 DATA 		 7 		 SERVER 		 RELAY2
CLIENT		 S 				15:15:51 		 DATA 		 8 		 CLIENT 		 RELAY1
SERVER		 R 				15:15:51 		 DATA 		 7 		 RELAY2 		 SERVER
RELAY2		 S 				15:15:51 		 DATA 		 7 		 RELAY2 		 SERVER
CLIENT		 R 				15:15:51 		 DATA 		 5 		 RELAY1 		 CLIENT
CLIENT		 S 				15:15:51 		 DATA 		 6 		 CLIENT 		 RELAY1
RELAY1		 R 				15:15:51 		 DATA 		 4 		 SERVER 		 RELAY1
CLIENT		 S 				15:15:51 		 DATA 		 7 		 CLIENT 		 RELAY2
SERVER		 R 				15:15:51 		 DATA 		 4 		 RELAY1 		 SERVER
RELAY1		 S 				15:15:51 		 DATA 		 4 		 RELAY1 		 SERVER
CLIENT		 S 				15:15:51 		 DATA 		 8 		 CLIENT 		 RELAY1
RELAY1		 R 				15:15:51 		 DATA 		 6 		 SERVER 		 RELAY1
CLIENT		 S 				15:15:51 		 DATA 		 9 		 CLIENT 		 RELAY2
SERVER		 R 				15:15:51 		 DATA 		 6 		 RELAY1 		 SERVER
RELAY1		 S 				15:15:51 		 DATA 		 6 		 RELAY1 		 SERVER
RELAY1		 R 				15:15:51 		 DATA 		 4 		 SERVER 		 RELAY1
RELAY2		 R 				15:15:51 		 DATA 		 7 		 SERVER 		 RELAY2
SERVER		 R 				15:15:51 		 DATA 		 4 		 RELAY1 		 SERVER
RELAY1		 S 				15:15:51 		 DATA 		 4 		 RELAY1 		 SERVER
RELAY2		 S 				15:15:51 		 DATA 		 7 		 RELAY2 		 SERVER
